draw,main1,main2,main3,main4,main5,main6,winner_count_1st
199,14,21,22,25,30,36,2
200,5,6,13,14,17,20,8
201,3,11,24,38,39,44,1
202,12,14,27,33,39,44,6
203,1,3,11,24,30,32,5
204,3,12,14,35,40,45,8
205,1,3,21,29,35,37,6
206,1,2,3,15,20,25,5
207,3,11,14,31,32,37,5
208,14,25,31,34,40,44,6
209,2,7,18,20,24,33,6
210,10,19,22,23,25,37,2
211,12,13,17,20,33,41,10
212,11,12,18,21,31,38,4
213,2,3,4,5,20,24,8
214,5,7,20,25,28,37,8
215,2,3,7,15,43,44,7
216,7,16,17,33,36,40,13
217,16,20,27,33,35,39,7
218,1,8,14,18,29,44,4
219,4,11,20,26,35,37,9
220,5,11,19,21,34,43,6
221,2,20,33,35,37,40,6
222,5,7,28,29,39,43,5
223,1,3,18,20,26,27,7
224,4,19,26,27,30,42,6
225,5,11,13,19,31,36,6
226,2,6,8,14,21,22,6
227,4,5,15,16,22,42,2
228,17,25,35,36,39,44,9
229,4,5,9,11,23,38,7
230,5,11,14,29,32,33,8
231,5,10,19,31,44,45,9
232,8,9,10,12,24,44,9
233,4,6,13,17,28,40,10
234,13,21,22,24,26,37,4
235,21,22,26,27,31,37,3
236,1,4,8,13,37,39,2
237,1,11,17,21,24,44,7
238,2,4,15,28,31,34,9
239,11,15,24,39,41,44,9
240,6,10,16,40,41,43,2
241,2,16,24,27,28,35,4
242,4,19,20,21,32,34,8
243,2,12,17,19,28,42,4
244,13,16,25,36,37,38,1
245,9,11,27,31,32,38,7
246,13,18,21,23,26,39,5
247,12,15,28,36,39,40,6
248,3,8,17,23,38,45,8
249,3,8,27,31,41,44,6
250,19,23,30,37,43,45,5
251,6,7,19,25,28,38,8
252,14,23,26,31,39,45,7
253,8,19,25,31,34,36,4
254,1,5,19,20,24,30,1
255,1,5,6,24,27,42,6
256,4,11,14,21,23,43,2
257,6,13,27,31,32,37,4
258,14,27,30,31,38,40,4
259,4,5,14,35,42,45,2
260,7,12,15,24,37,40,4
261,6,11,16,18,31,43,3
262,9,12,24,25,29,31,2
263,1,27,28,32,37,40,6
264,9,16,27,36,41,44,7
265,5,9,34,37,38,39,8
266,3,4,9,11,22,42,3
267,7,8,24,34,36,41,3
268,3,10,19,24,32,45,7
269,5,18,20,36,42,43,5
270,5,9,12,20,21,26,5
271,3,8,9,27,29,40,6
272,7,9,12,27,39,43,9
273,1,8,24,31,34,44,3
274,13,14,15,26,35,39,4
275,14,19,20,35,38,40,1
276,4,15,21,33,39,41,3
277,10,12,13,15,25,29,3
278,3,11,37,39,41,43,3
279,7,16,31,36,37,38,5
280,10,11,23,24,36,37,7
281,1,3,4,6,14,41,6
282,2,5,10,18,31,32,7
283,6,8,18,31,38,45,3
284,2,7,15,24,30,45,3
285,13,33,37,40,41,45,3
286,1,15,19,40,42,44,3
287,6,12,24,27,35,37,7
288,1,12,17,28,35,41,4
289,3,14,33,37,38,42,0
290,8,13,18,32,39,45,13
291,3,7,8,18,20,42,7
292,17,18,31,32,33,34,14
293,1,9,17,21,29,33,6
294,6,10,17,30,37,38,4
295,1,4,12,16,18,38,0
296,3,8,15,27,30,45,8
297,6,11,19,20,28,32,2
298,5,9,27,29,37,40,1
299,1,3,20,25,36,45,7
300,7,9,10,12,26,38,12
301,7,11,13,33,37,43,7
302,13,19,20,32,38,42,2
303,2,14,17,30,38,45,6
304,4,10,16,26,33,41,6
305,7,8,18,21,23,39,5
306,4,18,23,30,34,41,5
307,5,15,21,23,25,45,4
308,14,15,17,19,37,45,1
309,1,2,5,11,18,36,11
310,1,5,19,28,34,41,8
311,4,12,24,27,28,32,8
312,2,3,5,6,12,20,15
313,9,17,34,35,43,45,6
314,15,17,19,34,38,41,6
315,1,13,33,35,43,45,8
316,10,11,21,27,31,39,6
317,3,10,11,22,36,39,4
318,2,17,19,20,34,45,9
319,5,8,22,28,33,42,5
320,16,19,23,25,41,45,2
321,12,18,20,21,25,34,6
322,9,18,29,32,38,43,6
323,10,14,15,32,36,42,8
324,2,4,21,25,33,36,6
325,7,17,20,32,44,45,6
326,16,23,25,33,36,39,6
327,6,12,13,17,32,44,12
328,1,6,9,16,17,28,6
329,9,17,19,30,35,42,6
330,3,4,16,17,19,20,9
331,4,9,14,26,31,44,5
332,16,17,34,36,42,45,8
333,5,14,27,30,39,43,7
334,13,15,21,29,39,43,7
335,5,9,16,23,26,45,5
336,3,5,20,34,35,44,6
337,1,5,14,18,32,37,8
338,2,13,34,38,42,45,3
339,6,8,14,21,30,37,9
340,18,24,26,29,34,38,7
341,1,8,19,34,39,43,7
342,1,13,14,33,34,43,3
343,1,10,17,29,31,43,6
344,1,2,15,28,34,45,7
345,15,20,23,29,39,42,2
346,5,13,14,22,44,45,5
347,3,8,13,27,32,42,7
348,3,14,17,20,24,31,3
349,5,13,14,20,24,25,3
350,1,8,18,24,29,33,9
351,5,25,27,29,34,36,4
352,5,16,17,20,26,41,6
353,11,16,19,22,29,36,2
354,14,19,36,43,44,45,5
355,5,8,29,30,35,44,5
356,2,8,14,25,29,45,9
357,10,14,18,21,36,37,2
358,1,9,10,12,21,40,3
359,1,10,19,20,24,40,8
360,4,16,23,25,35,40,3
361,5,10,16,24,27,35,7
362,2,3,22,27,30,40,6
363,11,12,14,21,32,38,4
364,2,5,7,14,16,40,4
365,5,15,21,25,26,30,1
366,5,12,19,26,27,44,2
367,3,22,25,29,32,44,7
368,11,21,24,30,39,45,7
369,17,20,35,36,41,43,6
370,16,18,24,42,44,45,7
371,7,9,15,26,27,42,7
372,8,11,14,16,18,21,9
373,15,26,37,42,43,45,4
374,11,13,15,17,25,34,2
375,4,8,19,25,27,45,7
376,1,11,13,24,28,40,6
377,6,22,29,37,43,45,3
378,5,22,29,31,34,39,5
379,6,10,22,31,35,40,7
380,1,2,8,17,26,37,4
381,1,5,10,12,16,20,19
382,10,15,22,24,27,42,6
383,4,15,28,33,37,40,3
384,11,22,24,32,36,38,3
385,7,12,19,21,29,32,7
386,4,7,10,19,31,40,10
387,1,26,31,34,40,43,4
388,1,8,9,17,29,32,4
389,7,16,18,20,23,26,5
390,16,17,28,37,39,40,1
391,10,11,18,22,28,39,1
392,1,3,7,8,24,42,6
393,9,16,28,40,41,43,8
394,1,13,20,22,25,28,1
395,11,15,20,26,31,35,7
396,18,20,31,34,40,45,2
397,12,13,17,22,25,33,3
398,10,15,20,23,42,44,4
399,1,2,9,17,19,42,8
400,9,21,27,34,41,43,4
401,6,12,18,31,38,43,9
402,5,9,15,19,22,36,4
403,10,14,22,24,28,37,5
404,5,20,21,24,33,40,3
405,1,2,10,25,26,44,3
406,7,12,21,24,27,36,5
407,6,7,13,16,24,25,7
408,9,20,21,22,30,37,5
409,6,9,21,31,32,40,4
410,1,3,18,32,40,41,9
411,11,14,22,35,37,39,12
412,4,7,39,41,42,45,7
413,2,9,15,23,34,40,4
414,2,14,15,22,23,44,1
415,7,17,20,26,30,40,8
416,5,6,8,11,22,26,10
417,4,5,14,20,22,43,4
418,11,13,15,26,28,34,8
419,2,11,13,14,28,30,3
420,4,9,10,29,31,34,8
421,6,11,26,27,28,44,5
422,8,15,19,21,34,44,6
423,1,17,27,28,29,40,3
424,10,11,26,31,34,44,10
