round,date,main_1,main_2,main_3,main_4,main_5,main_6,bonus,second_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,main_birthday_count,bonus_birthday_indicator,second_prize_tickets_json,second_prize_birthday_counts_json,x2,z2,share2_index,source_file,source_file_sha256
14,20030308,2,6,12,31,33,40,15,28,99838648000,2000,49919324,4,1,"[[6,12,15,31,33,40],[2,12,15,31,33,40],[2,6,15,31,33,40],[2,6,12,15,33,40],[2,6,12,15,31,40],[2,6,12,15,31,33]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.76143418929310824,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
15,20030315,3,4,16,30,31,37,13,16,73264910000,2000,36632455,5,1,"[[4,13,16,30,31,37],[3,13,16,30,31,37],[3,4,13,30,31,37],[3,4,13,16,31,37],[3,4,13,16,30,37],[3,4,13,16,30,31]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.59292122245151191,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
16,20030322,6,7,24,37,38,40,33,12,75777348000,2000,37888674,3,0,"[[7,24,33,37,38,40],[6,24,33,37,38,40],[6,7,33,37,38,40],[6,7,24,33,38,40],[6,7,24,33,37,40],[6,7,24,33,37,38]]","[2,2,2,3,3,3]",2.5,-1.6333333333333337,0.42994695459651083,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
17,20030329,3,4,9,17,32,37,1,9,72718152000,2000,36359076,4,1,"[[1,4,9,17,32,37],[1,3,9,17,32,37],[1,3,4,17,32,37],[1,3,4,9,32,37],[1,3,4,9,17,37],[1,3,4,9,17,32]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.33602586600385553,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
18,20030405,3,12,13,19,32,35,29,15,66371660000,2000,33185830,4,1,"[[12,13,19,29,32,35],[3,13,19,29,32,35],[3,12,19,29,32,35],[3,12,13,29,32,35],[3,12,13,19,29,35],[3,12,13,19,29,32]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.61359471798656229,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
19,20030412,6,30,38,39,40,43,26,14,105957818000,2000,52978909,2,1,"[[26,30,38,39,40,43],[6,26,38,39,40,43],[6,26,30,39,40,43],[6,26,30,38,40,43],[6,26,30,38,39,43],[6,26,30,38,39,40]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,0.35873030152432922,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
20,20030419,10,14,18,20,23,30,41,14,81056776000,2000,40528388,6,0,"[[14,18,20,23,30,41],[10,18,20,23,30,41],[10,14,20,23,30,41],[10,14,18,23,30,41],[10,14,18,20,30,41],[10,14,18,20,23,41]]","[5,5,5,5,5,5]",5,0.86666666666666625,0.46893402224633263,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
21,20030426,6,12,17,18,31,32,21,26,84247142000,2000,42123571,5,1,"[[12,17,18,21,31,32],[6,17,18,21,31,32],[6,12,18,21,31,32],[6,12,17,21,31,32],[6,12,17,18,21,32],[6,12,17,18,21,31]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.83789809748086175,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
22,20030503,4,5,6,8,17,39,25,32,79455152000,2000,39727576,5,1,"[[5,6,8,17,25,39],[4,6,8,17,25,39],[4,5,8,17,25,39],[4,5,6,17,25,39],[4,5,6,8,25,39],[4,5,6,8,17,25]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,1.0934550852032856,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
23,20030510,5,13,17,18,33,42,44,23,77374256000,2000,38687128,4,0,"[[13,17,18,33,42,44],[5,17,18,33,42,44],[5,13,18,33,42,44],[5,13,17,33,42,44],[5,13,17,18,42,44],[5,13,17,18,33,44]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.80705732407947162,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
24,20030517,7,8,27,29,36,43,6,18,78486634000,2000,39243317,4,1,"[[6,8,27,29,36,43],[6,7,27,29,36,43],[6,7,8,29,36,43],[6,7,8,27,36,43],[6,7,8,27,29,43],[6,7,8,27,29,36]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.6226583751827095,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
25,20030524,2,4,21,26,43,44,16,28,120073768000,2000,60036884,4,1,"[[4,16,21,26,43,44],[2,16,21,26,43,44],[2,4,16,26,43,44],[2,4,16,21,43,44],[2,4,16,21,26,44],[2,4,16,21,26,43]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.63311546948372599,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
26,20030531,4,5,7,18,20,25,31,39,80193026000,2000,40096513,6,1,"[[5,7,18,20,25,31],[4,7,18,20,25,31],[4,5,18,20,25,31],[4,5,7,20,25,31],[4,5,7,18,25,31],[4,5,7,18,20,31]]","[6,6,6,6,6,6]",6,1.8666666666666663,1.3203863887116567,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
27,20030607,1,20,26,28,37,43,27,16,76145050000,2000,38072525,4,1,"[[20,26,27,28,37,43],[1,26,27,28,37,43],[1,20,27,28,37,43],[1,20,26,27,37,43],[1,20,26,27,28,43],[1,20,26,27,28,37]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.57049433942193217,downloads/official-1-1237/raw/api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
28,20030614,9,18,23,25,35,37,1,22,75448366000,2000,37724183,4,1,"[[1,18,23,25,35,37],[1,9,23,25,35,37],[1,9,18,25,35,37],[1,9,18,23,35,37],[1,9,18,23,25,37],[1,9,18,23,25,35]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.7916730761273213,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
