round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
70,20040403,5,19,22,25,28,43,3,63232578000,2000,31616289,5,63232578000
71,20040410,5,9,12,16,29,41,0,62889986000,2000,31444993,5,62889986000
72,20040417,2,4,11,17,26,27,13,125651214000,2000,62825607,6,125651214000
73,20040424,3,12,18,32,40,43,6,72635862000,2000,36317931,3,72635862000
74,20040501,6,15,17,18,35,40,3,68902158000,2000,34451079,4,68902158000
75,20040508,2,5,24,32,34,44,4,66138372000,2000,33069186,3,66138372000
76,20040515,1,3,15,22,25,37,2,65083924000,2000,32541962,5,65083924000
77,20040522,2,18,29,32,43,44,3,64420666000,2000,32210333,3,64420666000
78,20040529,10,13,25,29,33,35,4,61257794000,2000,30628897,4,61257794000
79,20040605,3,12,24,27,30,32,4,60390004000,2000,30195002,5,60390004000
80,20040612,17,18,24,25,26,30,1,60160440000,2000,30080220,6,60160440000
81,20040619,5,7,11,13,20,33,5,60983308000,2000,30491654,5,60983308000
82,20040626,1,2,3,14,27,42,1,61302808000,2000,30651404,5,61302808000
83,20040703,6,10,15,17,19,34,2,62512062000,2000,31256031,5,62512062000
84,20040710,16,23,27,34,42,45,2,62780760000,2000,31390380,3,62780760000
85,20040717,6,8,13,23,31,36,4,59451304000,2000,29725652,5,59451304000
86,20040724,2,12,37,39,41,45,1,59835968000,2000,29917984,2,59835968000
87,20040731,4,12,16,23,34,43,11,83793642000,2000,41896821,4,83793642000
88,20040807,1,17,20,24,30,41,4,51910612000,1000,51910612,5,51910612000
89,20040814,4,26,28,29,33,40,3,55102179000,1000,55102179,4,55102179000
90,20040821,17,20,29,35,38,44,4,55493544000,1000,55493544,3,55493544000
91,20040828,1,21,24,26,29,42,4,59061052000,1000,59061052,5,59061052000
92,20040904,3,14,24,33,35,36,11,58296001000,1000,58296001,3,58296001000
93,20040911,6,22,24,36,38,44,6,57236313000,1000,57236313,3,57236313000
94,20040918,5,32,34,40,41,45,6,57144729000,1000,57144729,1,57144729000
95,20040925,8,17,27,31,34,43,8,60077493000,1000,60077493,4,60077493000
96,20041002,1,3,8,21,22,31,7,54217572000,1000,54217572,6,54217572000
97,20041009,6,7,14,15,20,36,9,57713200000,1000,57713200,5,57713200000
98,20041016,6,9,16,23,24,32,4,56231084000,1000,56231084,5,56231084000
99,20041023,1,3,10,27,29,37,6,56207491000,1000,56207491,5,56207491000
100,20041030,1,7,11,23,37,42,4,56561977000,1000,56561977,4,56561977000
101,20041106,1,3,17,32,35,45,5,57585065000,1000,57585065,3,57585065000
102,20041113,17,22,24,26,35,40,9,56937962000,1000,56937962,4,56937962000
103,20041120,5,14,15,27,30,45,8,57420615000,1000,57420615,5,57420615000
104,20041127,17,32,33,34,42,44,2,56533705000,1000,56533705,1,56533705000
105,20041204,8,10,20,34,41,45,4,57479716000,1000,57479716,3,57479716000
106,20041211,4,10,12,22,24,33,16,57384485000,1000,57384485,5,57384485000
107,20041218,1,4,5,6,9,31,2,57545202000,1000,57545202,6,57545202000
108,20041225,7,18,22,23,29,44,7,58875228000,1000,58875228,5,58875228000
109,20050101,1,5,34,36,42,44,12,62584098000,1000,62584098,2,62584098000
110,20050108,7,20,22,23,29,43,3,57625490000,1000,57625490,5,57625490000
111,20050115,7,18,31,33,36,40,6,57876999000,1000,57876999,3,57876999000
112,20050122,26,29,30,33,41,42,9,59292005000,1000,59292005,3,59292005000
113,20050129,4,9,28,33,36,45,9,59258248000,1000,59258248,3,59258248000
114,20050205,11,14,19,26,28,41,6,60079401000,1000,60079401,5,60079401000
115,20050212,1,2,6,9,25,28,9,59130557000,1000,59130557,6,59130557000
116,20050219,2,4,25,31,34,37,7,61606084000,1000,61606084,4,61606084000
117,20050226,5,10,22,34,36,44,9,59429610000,1000,59429610,3,59429610000
118,20050305,3,4,10,17,19,22,10,57171934000,1000,57171934,6,57171934000
119,20050312,3,11,13,14,17,21,9,57800632000,1000,57800632,6,57800632000
120,20050319,4,6,10,11,32,37,3,57418983000,1000,57418983,4,57418983000
121,20050326,12,28,30,34,38,43,2,57134544000,1000,57134544,3,57134544000
122,20050402,1,11,16,17,36,40,9,56171704000,1000,56171704,4,56171704000
123,20050409,7,17,18,28,30,45,5,54097448000,1000,54097448,5,54097448000
124,20050416,4,16,23,25,29,42,9,54180838000,1000,54180838,5,54180838000
