bin,rounds,average_pool_size,candidate_observations,main_hits,candidate_hit_rate,average_main_hits_captured,random_expected_hits,lift
0,51,0.0,0,0,,0.0,0.0,
1-2,59,1.423728813559322,84,10,0.11904761904761904,0.1694915254237288,0.18983050847457628,0.8928571428571428
3-5,35,3.914285714285714,137,21,0.15328467153284672,0.6,0.5219047619047619,1.1496350364963503
6-9,6,6.833333333333333,41,5,0.12195121951219512,0.8333333333333334,0.9111111111111111,0.9146341463414634
10-14,16,12.5625,201,21,0.1044776119402985,1.3125,1.675,0.7835820895522387
15-19,129,17.75968992248062,2291,293,0.12789175032736796,2.2713178294573644,2.3679586563307495,0.9591881274552596
20-29,743,24.48586810228802,18193,2472,0.135876435991865,3.327052489905787,3.2647824136384025,1.0190732699389875
30-39,170,32.28235294117647,5488,722,0.1315597667638484,4.247058823529412,4.3043137254901955,0.9866982507288631
40-45,27,43.18518518518518,1166,154,0.1320754716981132,5.703703703703703,5.758024691358024,0.9905660377358491
