round,number_input_count,number_pass_count,number_candidate_count,number_gate,trio_raw_candidate_count,trio_valid_count,trio_gate,pair_raw_candidate_count,pair_valid_count,pair_gate,core_raw_candidate_count,core_available_count,core_gate,pair_ready,pair_test_ready,pair_research_hold,pair_system_hold,official_stop_stage,official_output_available,root_cause_morphology,row_hash
536,45,0,12,PASS,61,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,4aafe898a7afa3d402947a32a557f2f4eaaee52f4d626288e476e28687297338
537,45,0,11,PASS,165,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,947dff561be2f5c084b31a3fe2869500b6c3edf5dca259811e13f062170f4315
538,45,0,12,PASS,220,52,PASS,493,0,PASS,493,0,FAIL,0,0,0,493,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,ca73c7b1f6af620bc67aca77b6c2d6bc98294693e52463e89f98710c4d2839e0
539,45,0,8,PASS,56,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,8ab4a6647c3ea20f9c969638465b9aa499fd6a8bd859776a0fdf1a2d4b418b53
540,45,0,12,PASS,220,49,PASS,325,0,PASS,325,0,FAIL,0,0,0,325,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,6e04b08485646defb246e64be0ffaf43dbb77b21671bb040f6af52b81e80d0c1
541,45,0,12,PASS,46,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,59b2b5ee8e3511145bad30acbc15508675fe5d2a00566ced054b1819d57be1f0
542,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,6f03274178dfc1aff222dc010f1c16cae964b747b2574e2e4c1e12ff3374e358
543,45,0,12,PASS,220,52,PASS,460,0,PASS,460,0,FAIL,0,0,0,460,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,be334494f67a6906a4af0d8f492dc771af3a8a3d9fe45d9f282f9a158e6dbcde
544,45,0,11,PASS,165,12,PASS,15,0,PASS,15,0,FAIL,0,0,0,15,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,ddd0bf805b448d0c06feb560b66acb1b7a206af8ef791b3248dfc0146b86194a
545,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,e27336f76b305f08862f2e0727bc7379305c1d53586654555c941b42725b2aa9
546,45,0,9,PASS,84,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,13a21b5fdfd885d138c3a7f9a9bf05c2fa4c8d78ed34f5971c84f24eab3a0a7e
547,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,1a74d8b6632cf5c4a454dc1b4f8647564b627f0a40928b80448ae825643bf0c5
548,45,1,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,ffa13fd0b195c7bfe880ee3cbb15061e292133189d78c1debf81bd08aa145a65
549,45,0,12,PASS,220,17,PASS,0,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,PAIR_STAGE_STOP,False,PAIR_BOTTLENECK,16bf9e304ae98a1d18680ef3aacbbd678280fed070711cd4256c10d12a85e769
550,45,0,12,PASS,220,49,PASS,424,0,PASS,424,0,FAIL,0,0,0,424,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,ff8e4e5813a86e1fcc74fca81bab57f5043df401e1a78063ae70e6999e20fc68
551,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,77a088714869077f83481bb06197ae6950699eb921a99b1bcbc32850c653088b
552,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,20be28e24cd60e07b1814c64efcfe035a1fd7385a594b5718dad92e6edc96a81
553,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,36796cef75d0b8290d2e9608b3612d5da9745d8609a147ffbe66229f3f4623e4
554,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,5e2ee9e778f68ea420fae0c111a04d48d00fc1858f2fe71e3299cd72b65f11f8
555,45,0,12,PASS,220,32,PASS,116,0,PASS,116,0,FAIL,0,0,0,116,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,59b2d7316758c808950ce50e0047ce8672dad045c3872d233af46ce953b07c8e
556,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,383c008b810aeab97d38e9c37e49d1d9ef2be7de4aa97c74df1dc7ee16a25e5b
557,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,177a6a6744698d85b054ab37c42dc83ac88aa5dee1e2f4f87972f5c3f59bda04
558,45,0,12,PASS,220,49,PASS,437,0,PASS,437,0,FAIL,0,0,0,437,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,7cd2237d84b6372e14fe37bace7c03bc7d28e47b114ef7c8b0ce0cb17c2a3b65
559,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,a480b56d14d05e12ab12a6efac0c175f5f5b33df558a6e7c8b3f3072ef2a97dc
560,45,0,12,PASS,220,62,PASS,621,0,PASS,621,0,FAIL,0,0,0,621,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,81e27d7ce56b1bcc1fbad7e89d7bfc4c4adbaf920afca49e4dd4ae081919c67f
561,45,0,12,PASS,220,54,PASS,591,0,PASS,591,0,FAIL,0,0,0,591,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,ac73ffc882701bf88153bbc00b3f8c76f491f952ab39a3ca0366608c856ac4d9
562,45,1,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,85385e4e541ddc23959b4d0a33b24b03ea7d01300e0c6f17c236dc4f6c01034c
563,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,764724882ec39c73d731e7efffa03f09318acff76a173ddafd669769640ff675
564,45,0,12,PASS,220,45,PASS,206,0,PASS,206,0,FAIL,0,0,0,206,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,3b2c3069b011cf29bd4438343ae92b51e6634745d8ab14b93a540f245f3dcd7b
565,45,0,8,PASS,56,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,4de17430a14b59ee50c3b907855b10f1c7734ec140234a476c53e565d706c321
566,45,0,12,PASS,220,60,PASS,613,0,PASS,613,0,FAIL,0,0,0,613,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,213720270d29984d435fc12d70a0a6c33f4b6812de8d64056819d3d0eaaef9fd
567,45,0,12,PASS,204,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,57d354ef6babbcbce336f3545e9ced426905c8313849ec523a3749ec1a6a6d3c
568,45,0,12,PASS,220,86,PASS,1263,0,PASS,1263,0,FAIL,0,0,0,1263,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,13295522f823810fe6f4c8f5c4eca9e001bce61ab7a1fb551c92d10e8d756299
569,45,0,12,PASS,220,46,PASS,287,0,PASS,287,0,FAIL,0,0,0,287,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,cec9724f6eaf667b363c3461fb52baf368502981e158557b20e0df2189637e12
