target_round,source_round,source_main6,pair_completions,vote_counts,candidate_count,candidates_ordered,source_member_candidate_count_r,source_target_intersection_c,research_A,research_B,leftovers,candidate_hit_count,A_exact_hit_count,B_exact_hit_count,future_leakage_flag
16,15,3 4 16 30 31 37,3-4>26;3-16>14;3-30>12;3-31>35;3-37>44;4-16>13;4-30>11;4-31>37;4-37>31;16-30>38;16-31>1;16-37>28;30-31>17;30-37>29;31-37>4,1:1 4:1 11:1 12:1 13:1 14:1 17:1 26:1 28:1 29:1 31:1 35:1 37:1 38:1 44:1,0,,0,1,,,,0,,,0
17,16,6 7 24 37 38 40,6-7>29;6-24>12;6-37>35;6-38>34;6-40>32;7-24>11;7-37>22;7-38>36;7-40>34;24-37>20;24-38>22;24-40>26;37-38>15;37-40>1;38-40>9,22:2 34:2 1:1 9:1 11:1 12:1 15:1 20:1 26:1 29:1 32:1 35:1 36:1,2,22 34,0,1,,,,0,,,0
18,17,3 4 9 17 32 37,3-4>26;3-9>21;3-17>1;3-32>34;3-37>44;4-9>29;4-17>15;4-32>36;4-37>31;9-17>10;9-32>31;9-37>41;17-32>2;17-37>27;32-37>12,31:2 1:1 2:1 10:1 12:1 15:1 21:1 26:1 27:1 29:1 34:1 36:1 41:1 44:1,1,31,0,2,,,,0,,,0
19,18,3 12 13 19 32 35,3-12>30;3-13>23;3-19>5;3-32>34;3-35>31;12-13>20;12-19>11;12-32>37;12-35>34;13-19>10;13-32>39;13-35>36;19-32>30;19-35>21;32-35>11,11:2 30:2 34:2 5:1 10:1 20:1 21:1 23:1 31:1 36:1 37:1 39:1,3,11 30 34,0,0,11 30 34,,,1,1,,0
20,19,6 30 38 39 40 43,6-30>9;6-38>34;6-39>33;6-40>32;6-43>44;30-38>16;30-39>18;30-40>20;30-43>26;38-39>1;38-40>9;38-43>3;39-40>2;39-43>11;40-43>4,9:2 1:1 2:1 3:1 4:1 11:1 16:1 18:1 20:1 26:1 32:1 33:1 34:1 44:1,1,9,0,1,,,,0,,,0
21,20,10 14 18 20 23 30,10-14>27;10-18>11;10-20>15;10-23>6;10-30>5;14-18>7;14-20>11;14-23>2;14-30>1;18-20>34;18-23>43;18-30>39;20-23>44;20-30>40;23-30>34,11:2 34:2 1:1 2:1 5:1 6:1 7:1 15:1 27:1 39:1 40:1 43:1 44:1,2,11 34,0,1,,,,0,,,0
22,21,6 12 17 18 31 32,6-12>24;6-17>13;6-18>15;6-31>41;6-32>40;12-17>7;12-18>9;12-31>38;12-32>37;17-18>40;17-31>30;17-32>2;18-31>29;18-32>16;31-32>9,9:2 40:2 2:1 7:1 13:1 15:1 16:1 24:1 29:1 30:1 37:1 38:1 41:1,2,9 40,0,2,,,,0,,,0
23,22,4 5 6 8 17 39,4-5>27;4-6>20;4-8>21;4-17>15;4-39>44;5-6>28;5-8>29;5-17>14;5-39>31;6-8>22;6-17>13;6-39>33;8-17>11;8-39>37;17-39>16,11:1 13:1 14:1 15:1 16:1 20:1 21:1 22:1 27:1 28:1 29:1 31:1 33:1 37:1 44:1,0,,0,2,,,,0,,,0
24,23,5 13 17 18 33 42,5-13>24;5-17>14;5-18>1;5-33>37;5-42>43;13-17>6;13-18>8;13-33>38;13-42>44;17-18>40;17-33>19;17-42>22;18-33>3;18-42>21;33-42>15,1:1 3:1 6:1 8:1 14:1 15:1 19:1 21:1 22:1 24:1 37:1 38:1 40:1 43:1 44:1,0,,0,0,,,,0,,,0
25,24,7 8 27 29 36 43,7-8>30;7-27>2;7-29>6;7-36>38;7-43>31;8-27>1;8-29>5;8-36>40;8-43>33;27-29>43;27-36>30;27-43>29;29-36>28;29-43>27;36-43>2,2:2 30:2 1:1 5:1 6:1 27:1 28:1 29:1 31:1 33:1 38:1 40:1 43:1,2,2 30,0,1,,,,1,,,0
26,25,2 4 21 26 43 44,2-4>18;2-21>10;2-26>5;2-43>36;2-44>35;4-21>8;4-26>3;4-43>40;4-44>39;21-26>31;21-43>20;21-44>22;26-43>30;26-44>17;43-44>6,3:1 5:1 6:1 8:1 10:1 17:1 18:1 20:1 22:1 30:1 31:1 35:1 36:1 39:1 40:1,0,,0,1,,,,0,,,0
27,26,4 5 7 18 20 25,4-5>27;4-7>28;4-18>2;4-20>6;4-25>1;5-7>21;5-18>1;5-20>35;5-25>15;7-18>14;7-20>3;7-25>13;18-20>34;18-25>44;20-25>45,1:2 2:1 3:1 6:1 13:1 14:1 15:1 21:1 27:1 28:1 34:1 35:1 44:1 45:1,1,1,0,1,,,,1,,,0
28,27,1 20 26 28 37 43,1-20>9;1-26>6;1-28>10;1-37>40;1-43>34;20-26>38;20-28>39;20-37>24;20-43>21;26-28>42;26-37>18;26-43>30;28-37>16;28-43>13;37-43>10,10:2 6:1 9:1 13:1 16:1 18:1 21:1 24:1 30:1 34:1 38:1 39:1 40:1 42:1,1,10,0,1,,,,0,,,0
29,28,9 18 23 25 35 37,9-18>12;9-23>7;9-25>11;9-35>43;9-37>41;18-23>43;18-25>44;18-35>22;18-37>26;23-25>39;23-35>17;23-37>21;25-35>30;25-37>19;35-37>6,43:2 6:1 7:1 11:1 12:1 17:1 19:1 21:1 22:1 26:1 30:1 39:1 41:1 44:1,1,43,0,0,,,,0,,,0
30,29,1 5 13 34 39 40,1-5>18;1-13>22;1-34>43;1-39>38;1-40>37;5-13>24;5-34>36;5-39>31;5-40>45;13-34>37;13-39>32;13-40>31;34-39>14;34-40>7;39-40>2,31:2 37:2 2:1 7:1 14:1 18:1 22:1 24:1 32:1 36:1 38:1 43:1 45:1,2,31 37,0,0,,,,0,,,0
31,30,8 17 20 35 36 44,8-17>11;8-20>2;8-35>41;8-36>40;8-44>32;17-20>41;17-35>23;17-36>25;17-44>26;20-35>5;20-36>22;20-44>23;35-36>13;35-44>2;36-44>10,2:2 23:2 41:2 5:1 10:1 11:1 13:1 22:1 25:1 26:1 32:1 40:1,3,2 23 41,0,1,2 23 41,,,1,1,,0
32,31,7 9 18 23 28 35,7-9>23;7-18>14;7-23>9;7-28>4;7-35>39;9-18>12;9-23>7;9-28>2;9-35>43;18-23>43;18-28>38;18-35>22;23-28>33;23-35>17;28-35>27,43:2 2:1 4:1 7:1 9:1 12:1 14:1 17:1 22:1 23:1 27:1 33:1 38:1 39:1,1,43,0,0,,,,0,,,0
33,32,6 14 19 25 34 44,6-14>25;6-19>2;6-25>14;6-34>38;6-44>43;14-19>9;14-25>6;14-34>39;14-44>29;19-25>37;19-34>4;19-44>24;25-34>28;25-44>18;34-44>9,9:2 2:1 4:1 6:1 14:1 18:1 24:1 25:1 28:1 29:1 37:1 38:1 39:1 43:1,1,9,0,0,,,,0,,,0
