round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
170,20060304,6,27,1309,67030,1125608,49718245000,1000,49718245,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
171,20060311,6,19,1381,71461,1113068,50357474000,1000,50357474,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
172,20060318,11,19,1276,65456,1111595,50758266000,1000,50758266,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
173,20060325,8,63,1448,78349,1261354,52286521000,1000,52286521,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
174,20060401,7,26,1325,64999,1101483,52340568000,1000,52340568,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
175,20060408,5,48,1347,67585,1137627,50895147000,1000,50895147,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
176,20060415,5,40,1535,76689,1191081,50488528000,1000,50488528,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
177,20060422,7,30,1260,64437,1097033,50480325000,1000,50480325,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
178,20060429,5,44,1566,74612,1200574,49582758000,1000,49582758,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
179,20060506,10,53,1540,69956,1125523,47291694000,1000,47291694,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
180,20060513,2,35,1284,62876,1047300,48895477000,1000,48895477,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
181,20060520,6,24,1233,60637,1028918,49124446000,1000,49124446,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
182,20060527,3,44,1228,59004,1000820,47222594000,1000,47222594,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
183,20060603,6,25,1294,67137,1039403,45938460000,1000,45938460,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
184,20060610,6,31,1331,63344,1054829,45503351000,1000,45503351,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
185,20060617,3,34,1228,65938,1055823,45783088000,1000,45783088,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
186,20060624,9,46,1169,58566,984795,45484428000,1000,45484428,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
187,20060701,7,19,1253,59780,981217,45855961000,1000,45855961,api-0106.json,067f44f6c12aed8258861176d45035b9daacc5b2b898aa0beedfd1ca83899de0
188,20060708,3,33,1320,61227,1016219,45176242000,1000,45176242,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
189,20060715,3,33,1085,52193,903280,43650551000,1000,43650551,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
190,20060722,6,33,1016,53791,918127,44864459000,1000,44864459,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
191,20060729,4,23,1145,59650,1017334,44534869000,1000,44534869,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
192,20060805,4,38,1098,55766,943042,42035065000,1000,42035065,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
193,20060812,3,20,1135,58638,974398,43788477000,1000,43788477,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
194,20060819,4,21,1072,53559,917061,44511515000,1000,44511515,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
195,20060826,11,66,1691,70324,1067833,44374725000,1000,44374725,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
196,20060902,15,27,1518,58079,937967,45773496000,1000,45773496,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
197,20060909,6,42,1229,58551,993294,45993306000,1000,45993306,api-0105.json,ec45cf60556300e25c2698614a161d7cd7ea765a112ff33852a7980a5b2c8794
198,20060916,6,25,1050,55693,965692,45614021000,1000,45614021,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
199,20060923,2,23,1049,55426,939272,45021068000,1000,45021068,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
200,20060930,8,58,1387,66233,1078398,46640423000,1000,46640423,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
201,20061007,1,37,1347,61045,985655,42254768000,1000,42254768,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
202,20061014,6,40,1232,62532,1043620,48304034000,1000,48304034,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
203,20061021,5,43,1328,66916,1095728,47033359000,1000,47033359,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
204,20061028,8,23,1180,57646,985516,46077750000,1000,46077750,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
205,20061104,6,21,1098,56067,962608,46330516000,1000,46330516,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
206,20061111,5,36,1549,66445,1044599,44326979000,1000,44326979,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
207,20061118,5,37,1203,60871,1020444,45282336000,1000,45282336,api-0104.json,898dca433ce69388bd60f51de76c2d03715ff1d1f3f0df1fae292eaeba04634e
208,20061125,6,34,1224,64277,1030103,45516378000,1000,45516378,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
209,20061202,6,34,1358,65973,1053545,43753377000,1000,43753377,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
210,20061209,2,46,1298,64325,1049739,44757963000,1000,44757963,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
211,20061216,10,29,1308,64785,1080600,45332675000,1000,45332675,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
212,20061223,4,36,1228,64059,1066249,46139120000,1000,46139120,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
213,20061230,8,33,1977,95451,1203368,48745094000,1000,48745094,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
214,20070106,8,36,1433,70219,1167625,49195740000,1000,49195740,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
215,20070113,7,32,1248,65898,1062967,47675761000,1000,47675761,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
216,20070120,13,63,2612,79174,1157342,48342018000,1000,48342018,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
217,20070127,7,29,1206,64156,1066490,48260644000,1000,48260644,api-0103.json,b53c416c78cad342a89490a2782db410c07cceb265b3e427addc6797db252c82
218,20070203,4,26,1203,60492,996397,47018314000,1000,47018314,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
219,20070210,9,41,1292,63889,1065147,46903745000,1000,46903745,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
220,20070217,6,28,1317,67271,1122150,50383399000,1000,50383399,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
221,20070224,6,44,1608,75459,1167205,47674135000,1000,47674135,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
222,20070303,5,33,1105,57093,981530,47735197000,1000,47735197,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
223,20070310,7,39,1416,67509,1107956,46036874000,1000,46036874,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
224,20070317,6,26,1158,60549,1025571,46435109000,1000,46435109,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
225,20070324,6,41,1287,65281,1080798,46352016000,1000,46352016,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
226,20070331,6,38,1305,64076,1026364,45145643000,1000,45145643,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
227,20070407,2,24,1103,56663,942116,44444776000,1000,44444776,api-0102.json,c282cece10f11d2db1f8b124ddaf9ad5d827456f0ecaafd8e458d24e4819a138
228,20070414,9,39,1338,66002,1036309,44764100000,1000,44764100,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
229,20070421,7,27,1312,67524,1089603,44762989000,1000,44762989,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
230,20070428,8,25,1037,56346,971324,44191351000,1000,44191351,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
231,20070505,9,19,1267,59311,970465,42355627000,1000,42355627,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
232,20070512,9,18,1268,65000,1023708,43564632000,1000,43564632,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
233,20070519,10,26,1274,62535,1021168,43516805000,1000,43516805,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
234,20070526,4,23,1049,54926,921750,42814085000,1000,42814085,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
235,20070602,3,29,1178,59548,901409,43347391000,1000,43347391,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
236,20070609,2,41,1046,54480,940827,42941871000,1000,42941871,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
237,20070616,7,39,1098,57338,974357,43358287000,1000,43358287,api-0101.json,e7f4d37d86c840488b6a6a488ef34c944d797655b2abee0b2acbf275a1b5be58
238,20070623,9,29,1066,54591,930266,42952477000,1000,42952477,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
239,20070630,9,29,1083,55850,927236,43296565000,1000,43296565,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
240,20070707,2,28,1084,57376,961510,43603443000,1000,43603443,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
241,20070714,4,34,967,53783,922001,43246894000,1000,43246894,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
242,20070721,8,36,1245,60644,975863,42679760000,1000,42679760,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
243,20070728,4,29,1089,54055,918683,41304830000,1000,41304830,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
244,20070804,1,25,1096,54930,900577,39411047000,1000,39411047,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
245,20070811,7,35,1092,57445,959435,41854623000,1000,41854623,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
246,20070818,5,26,1294,59600,959025,41453154000,1000,41453154,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
247,20070825,6,29,1019,52284,884542,42231698000,1000,42231698,api-0100.json,e76a3a5c3ef429bbba76f280b420e484af196031e4f4e6c4cd8da17f5894cff2
248,20070901,8,23,1155,58847,961562,42348403000,1000,42348403,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
249,20070908,6,29,1169,56034,926776,42539134000,1000,42539134,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
250,20070915,5,17,1051,51328,887737,42122808000,1000,42122808,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
251,20070922,8,40,1242,62015,1028991,44493014000,1000,44493014,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
252,20070929,7,24,1087,51895,874916,41207920000,1000,41207920,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
253,20071006,4,20,1169,57084,942682,42309347000,1000,42309347,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
254,20071013,1,33,1225,59196,978906,42259113000,1000,42259113,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
255,20071020,6,13,1054,55422,945297,41425341000,1000,41425341,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
256,20071027,2,34,1192,56975,938980,41996580000,1000,41996580,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
257,20071103,4,18,1233,57977,954861,41433637000,1000,41433637,api-0099.json,fa29bd1a1fe5ad2113018cab22f34b9d1dd4f3a99eb4d413fdb68968f0e36975
258,20071110,4,28,1724,54638,901197,41364428000,1000,41364428,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
259,20071117,2,25,1030,50402,864868,40905570000,1000,40905570,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
260,20071124,4,26,1284,58258,933907,40140211000,1000,40140211,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
261,20071201,3,32,1104,56285,929205,41215041000,1000,41215041,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
262,20071208,2,21,1106,54807,910729,39232234000,1000,39232234,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
263,20071215,6,27,937,50490,864303,39677128000,1000,39677128,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
264,20071222,7,27,1047,50096,840243,39783178000,1000,39783178,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
265,20071229,8,19,1010,52966,889156,40913922000,1000,40913922,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
266,20080105,3,36,1194,58820,986495,41937067000,1000,41937067,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
267,20080112,3,28,1141,55101,925922,41835853000,1000,41835853,api-0098.json,532fc8f0932a5f8d961ac925c09f5ba136932a998af6697b61e0c30e4284d05d
268,20080119,7,35,1362,61857,969153,41213802000,1000,41213802,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
269,20080126,5,22,1014,50514,866762,41357619000,1000,41357619,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
270,20080202,5,32,1242,59807,971485,41845351000,1000,41845351,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
271,20080209,6,28,1256,59418,956127,40879633000,1000,40879633,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
272,20080216,9,39,1370,63219,1017199,43310674000,1000,43310674,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
273,20080223,3,21,1096,56192,942078,42816211000,1000,42816211,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
274,20080301,4,37,1254,57315,923057,42631711000,1000,42631711,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
275,20080308,1,19,991,51657,884959,42329813000,1000,42329813,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
276,20080315,3,31,1161,59894,944192,42567610000,1000,42567610,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
277,20080322,3,31,1104,55271,914243,41868708000,1000,41868708,api-0097.json,c3fd81d6a88e007a2b46c6c484787f6a72d71837d11f9d273a0f3156a16a2228
278,20080329,3,27,1089,55643,922288,41088180000,1000,41088180,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
279,20080405,5,27,1088,55421,922712,41130542000,1000,41130542,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
280,20080412,7,27,1145,53915,905130,40673999000,1000,40673999,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
281,20080419,6,37,1491,74543,970685,40800514000,1000,40800514,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
282,20080426,7,32,1523,66297,1020328,41051175000,1000,41051175,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
283,20080503,3,24,1061,52989,876107,40133316000,1000,40133316,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
284,20080510,3,14,955,50537,859700,39773403000,1000,39773403,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
285,20080517,3,26,1017,51283,872117,40364871000,1000,40364871,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
286,20080524,3,27,1033,48857,857882,40944483000,1000,40944483,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
287,20080531,7,37,1330,60597,962149,40623489000,1000,40623489,api-0096.json,fec099b74388bb7bbd029417cb23d7a913d61e2bce87d09599dd1c5c428925d1
288,20080607,4,24,1056,50246,853998,39970134000,1000,39970134,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
289,20080614,0,24,1019,52281,880103,39406643000,1000,39406643,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
290,20080621,13,61,2297,106752,1783529,80362302000,1000,80362302,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
291,20080628,7,39,1227,62513,1029643,44143418000,1000,44143418,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
292,20080705,14,37,1688,66893,977718,43394631000,1000,43394631,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
293,20080712,6,21,1154,61059,926442,42399708000,1000,42399708,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
294,20080719,4,26,1137,56795,947708,41563813000,1000,41563813,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
295,20080726,0,26,1013,55376,950380,42248135000,1000,42248135,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
296,20080802,8,53,2066,89945,1435988,63377899000,1000,63377899,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
297,20080809,2,28,1275,61258,993035,43641475000,1000,43641475,api-0095.json,107affa89b89f375fa2e785ea07bd8e3f10b69ef2b6559de56181784de9ddecf
298,20080816,1,40,1353,63561,1011908,43151675000,1000,43151675,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
299,20080823,7,29,1118,58114,984255,44463909000,1000,44463909,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
300,20080830,12,34,1416,70193,1102135,44465047000,1000,44465047,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
301,20080906,7,47,1271,65756,1060486,44377177000,1000,44377177,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
302,20080913,2,44,1134,59455,990149,46382605000,1000,46382605,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
303,20080920,6,29,1158,56266,938678,42841760000,1000,42841760,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
304,20080927,6,37,1426,62096,992573,43158653000,1000,43158653,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
305,20081004,5,34,1377,66162,1049049,43960659000,1000,43960659,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
306,20081011,5,23,1219,56687,937697,44421462000,1000,44421462,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
307,20081018,4,28,1177,59400,937908,43880990000,1000,43880990,api-0094.json,c45fd2249cbef67a656d29b42e197232e22e91b4228807016594e4ab6bea50fc
308,20081025,1,27,978,53749,922984,43339416000,1000,43339416,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
309,20081101,11,25,1390,69125,1109802,44157528000,1000,44157528,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
310,20081108,8,29,1086,53956,913906,43718082000,1000,43718082,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
311,20081115,8,43,1363,64780,1020412,43209215000,1000,43209215,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
312,20081122,15,58,2064,91934,1080450,42255391000,1000,42255391,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
313,20081129,6,26,1120,55743,936364,43672096000,1000,43672096,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
314,20081206,6,24,1067,54892,911785,42328094000,1000,42328094,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
315,20081213,8,32,1063,56207,943975,44339180000,1000,44339180,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
316,20081220,6,29,1398,68356,1060204,44073768000,1000,44073768,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
317,20081227,4,25,1132,57565,978500,44135114000,1000,44135114,api-0093.json,756e4f5966b713791521e2718b58fe435c0d33156b870da0704558ddbc71b303
318,20090103,9,28,1381,64077,1044063,46663728000,1000,46663728,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
319,20090110,5,26,1151,59490,984086,45435183000,1000,45435183,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
320,20090117,2,25,1081,57061,990610,46659886000,1000,46659886,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
321,20090124,6,35,1276,68791,1143526,50617982000,1000,50617982,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
322,20090131,6,29,1465,67829,1085740,48948294000,1000,48948294,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
323,20090207,8,27,1175,60796,1024880,49209477000,1000,49209477,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
324,20090214,6,40,1228,62473,1068571,47988317000,1000,47988317,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
325,20090221,6,33,1258,62629,1051453,46636979000,1000,46636979,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
326,20090228,6,31,1335,64087,1058186,47224551000,1000,47224551,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
327,20090307,12,39,1242,63599,1048457,45791560000,1000,45791560,api-0092.json,1cefd52c3c34a3b1bf7ea4d05949647b90fa7d0c510c2d46936383604a8fcf10
328,20090314,6,30,1380,66590,1092107,47316988000,1000,47316988,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
329,20090321,6,33,1215,62711,1059068,47198504000,1000,47198504,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
330,20090328,9,32,1431,69225,1099109,45859496000,1000,45859496,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
331,20090404,5,45,1365,64617,1054309,46641467000,1000,46641467,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
332,20090411,8,37,1098,59833,979060,46042557000,1000,46042557,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
333,20090418,7,36,1365,59991,982937,46019070000,1000,46019070,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
334,20090425,7,31,1055,52311,890292,44439656000,1000,44439656,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
335,20090502,5,28,1222,60578,1001927,43977478000,1000,43977478,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
336,20090509,6,30,989,54887,935668,43069333000,1000,43069333,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
337,20090516,8,33,1194,59392,989912,43432467000,1000,43432467,api-0091.json,807f721088b6a2fce81b860a88767b4cbdb1085588ad64263726f21515afc290
338,20090523,3,39,1123,54492,930171,43136020000,1000,43136020,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
339,20090530,9,32,1107,54545,913229,42035640000,1000,42035640,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
340,20090606,7,35,1125,56209,930628,42892121000,1000,42892121,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
341,20090613,7,33,1235,58756,978760,44722448000,1000,44722448,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
342,20090620,3,29,1177,56149,924123,43782188000,1000,43782188,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
343,20090627,6,29,1096,53794,931340,43656460000,1000,43656460,api-0090.json,5986c0e0ac6e8b608062f9db190133b9edb09a15a0e15b013f1ca4115da91744
