round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
35,20030802,3,24,933,46866,779854,66143062000,2000,33071531,api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
36,20030809,1,19,768,38321,673755,66856686000,2000,33428343,api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
37,20030816,3,20,857,46334,782490,65509794000,2000,32754897,api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
38,20030823,3,18,679,36377,681031,67369284000,2000,33684642,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
39,20030830,6,25,699,38752,680975,66094476000,2000,33047238,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
40,20030906,13,44,1055,65081,798374,65699086000,2000,32849543,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
41,20030913,0,21,700,33805,583744,57624562000,2000,28812281,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
42,20030920,6,35,1405,79543,1393691,119909740000,2000,59954870,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
43,20030927,1,21,926,45078,776043,74686296000,2000,37343148,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
44,20031004,5,23,785,40092,696051,69956950000,2000,34978475,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
45,20031011,2,27,890,45470,775339,71216232000,2000,35608116,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
46,20031018,3,39,1043,45243,745199,68181568000,2000,34090784,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
47,20031025,5,11,902,40580,679466,67756694000,2000,33878347,api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
48,20031101,6,25,1279,58047,874668,65806832000,2000,32903416,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
49,20031108,7,49,1487,66451,929635,64501142000,2000,32250571,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
50,20031115,3,14,826,40296,664631,65563234000,2000,32781617,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
51,20031122,6,26,961,45707,706567,62553680000,2000,31276840,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
52,20031129,4,13,669,34665,619109,64393446000,2000,32196723,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
53,20031206,3,25,802,45372,742615,64996010000,2000,32498005,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
54,20031213,3,15,719,34854,617337,63833006000,2000,31916503,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
55,20031220,2,24,728,42550,746855,62195764000,2000,31097882,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
56,20031227,4,29,1359,41156,744566,65258932000,2000,32629466,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
57,20040103,4,25,960,44050,763692,70132666000,2000,35066333,api-0119.json,6a5a827d82db7a8ea12380569a970cdedbfe1e4aa909df7a0d8357551ceb7c58
58,20040110,4,39,1318,58215,880954,66638136000,2000,33319068,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
59,20040117,4,23,651,35026,626460,67563698000,2000,33781849,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
60,20040124,7,27,1088,45712,735708,65405936000,2000,32702968,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
61,20040131,5,11,789,41227,714784,73312994000,2000,36656497,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
62,20040207,1,22,829,41686,700804,66740368000,2000,33370184,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
63,20040214,2,26,824,41505,712954,67074050000,2000,33537025,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
64,20040221,4,11,651,37117,654379,65085154000,2000,32542577,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
65,20040228,4,27,1003,52556,848960,66685144000,2000,33342572,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
66,20040306,4,19,786,40188,712181,63378796000,2000,31689398,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
67,20040313,7,62,972,46740,748901,64314872000,2000,32157436,api-0118.json,f308893605e2e4ee836b686dcfe607c2b682cb7f3293d5dc0f6505cc4d259bd5
68,20040320,5,20,754,43265,735760,63813236000,2000,31906618,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
69,20040327,3,20,766,41220,704209,63711302000,2000,31855651,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
70,20040403,3,14,717,36781,645990,63232578000,2000,31616289,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
71,20040410,0,28,782,39516,659631,62889986000,2000,31444993,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
72,20040417,13,44,2510,113994,1702959,125651214000,2000,62825607,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
73,20040424,6,26,1363,55608,865131,72635862000,2000,36317931,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
74,20040501,3,40,1021,48438,802633,68902158000,2000,34451079,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
75,20040508,4,19,817,40782,697174,66138372000,2000,33069186,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
76,20040515,2,17,840,44504,770522,65083924000,2000,32541962,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
77,20040522,3,19,713,37033,643154,64420666000,2000,32210333,api-0117.json,7293aa73828acca49e15653ee0627d108b9f134bb63c7e53e65af6c5e8d72dd9
78,20040529,4,22,910,42450,716323,61257794000,2000,30628897,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
79,20040605,4,31,1196,49431,741871,60390004000,2000,30195002,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
80,20040612,1,16,868,40251,706432,60160440000,2000,30080220,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
81,20040619,5,20,1046,51654,787258,60983308000,2000,30491654,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
82,20040626,1,20,637,36139,638058,61302808000,2000,30651404,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
83,20040703,2,15,851,45924,763287,62512062000,2000,31256031,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
84,20040710,2,17,635,32402,582445,62780760000,2000,31390380,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
85,20040717,4,31,823,41746,664492,59451304000,2000,29725652,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
86,20040724,1,16,611,35057,616434,59835968000,2000,29917984,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
87,20040731,11,33,1250,54768,890859,83793642000,2000,41896821,api-0116.json,2243957efef0fd9aecb5e56cc4082746b925013aefa42bd99ccc16759dfe4313
88,20040807,4,31,1183,64639,1098115,51910612000,1000,51910612,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
89,20040814,3,30,1340,72667,1261896,55102179000,1000,55102179,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
90,20040821,4,34,1297,67888,1160774,55493544000,1000,55493544,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
91,20040828,4,32,1205,64183,1128902,59061052000,1000,59061052,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
92,20040904,11,50,1623,79319,1307607,58296001000,1000,58296001,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
93,20040911,6,26,1462,68597,1185275,57236313000,1000,57236313,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
94,20040918,6,38,1353,71106,1223793,57144729000,1000,57144729,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
95,20040925,8,48,1728,82432,1347106,60077493000,1000,60077493,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
96,20041002,7,38,1197,65301,1111779,54217572000,1000,54217572,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
97,20041009,9,46,1543,77227,1282678,57713200000,1000,57713200,api-0115.json,bd33285bab4f61349f4e7bcdcb0dfbdb892e4df3c4dbfc2338db88cdb75e8f6a
98,20041016,4,45,1880,87818,1385812,56231084000,1000,56231084,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
99,20041023,6,40,1581,77203,1282311,56207491000,1000,56207491,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
100,20041030,4,36,1544,76899,1235777,56561977000,1000,56561977,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
101,20041106,5,38,1405,73210,1246344,57585065000,1000,57585065,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
102,20041113,9,24,1352,75476,1322337,56937962000,1000,56937962,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
103,20041120,8,38,1583,75587,1231156,57420615000,1000,57420615,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
104,20041127,2,23,1293,71824,1246208,56533705000,1000,56533705,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
105,20041204,4,26,1331,69127,1192263,57479716000,1000,57479716,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
106,20041211,16,40,2056,93551,1415989,57384485000,1000,57384485,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
107,20041218,2,35,2181,91651,1301235,57545202000,1000,57545202,api-0114.json,5fbcea0b168facf78123a48d620359ce4d6531eab07e7634de53ea9524c1ea99
108,20041225,7,41,1462,70827,1223421,58875228000,1000,58875228,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
109,20050101,12,31,1493,73179,1271057,62584098000,1000,62584098,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
110,20050108,3,38,1392,73674,1196287,57625490000,1000,57625490,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
111,20050115,6,51,1734,86863,1389605,57876999000,1000,57876999,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
112,20050122,9,32,1370,70247,1227387,59292005000,1000,59292005,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
113,20050129,9,43,1479,72711,1241238,59258248000,1000,59258248,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
114,20050205,6,41,1491,78504,1283250,60079401000,1000,60079401,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
